route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,81,IC,,,102,,,
10,81,REX 3,,,106,,,
11,81,REX 2,,,106,,,
12,81,S 3,,,109,,,
13,81,REX,,,106,,,
14,81,REX 6,,,106,,,
15,81,REX 81,,,106,,,
16,81,S,,,109,,,
17,81,S 9,,,109,,,
18,81,REX 9,,,106,,,
19,81,REX 51,,,106,,,
2,81,RJ,,,101,,,
20,81,R 58,,,106,,,
21,81,CJX 5,,,106,,,
22,81,S 8,,,109,,,
23,81,R 8,,,106,,,
24,81,REX 1,,,106,,,
25,81,REX 4,,,106,,,
26,81,S 1,,,109,,,
27,81,S 4,,,109,,,
28,81,S 5,,,109,,,
29,81,R 2,,,106,,,
3,81,RJX,,,101,,,
30,81,S 51,,,109,,,
31,81,R 52,,,106,,,
32,81,S 50,,,109,,,
33,81,S 45,,,109,,,
34,81,S 40,,,109,,,
35,81,REX 41,,,106,,,
36,81,R 40,,,106,,,
37,81,R 3,,,106,,,
38,81,S 7,,,109,,,
39,81,R 7,,,106,,,
4,81,EC,,,102,,,
40,81,REX 7,,,106,,,
41,81,R 53,,,106,,,
42,81,REX 53,,,106,,,
43,81,S 80,,,109,,,
44,81,REX 8,,,106,,,
45,81,R 81,,,106,,,
46,810003,S 4,,,109,,,
47,81,R 4,,,106,,,
48,81,REX 64,,,106,,,
49,81,S 60,,,109,,,
5,81,EN,,,103,,,
50,81,R 92,,,106,,,
51,81,REX 92,,,106,,,
52,81,R 21,,,106,,,
53,81,CJX,,,106,,,
54,81,R 1,,,106,,,
55,81,S 6,,,109,,,
56,810003,S 1,,,109,,,
57,81,REX 21,,,106,,,
58,81,R 44,,,106,,,
59,81,REX 44,,,106,,,
6,81,NJ,,,103,,,
60,81,CJX 1,,,106,,,
61,81,R 98,,,106,,,
62,81,R 97,,,106,,,
63,81,REX 97,,,106,,,
64,81,R 54,,,106,,,
65,81,R 55,,,106,,,
66,81,R 57,,,106,,,
67,81,REX 57,,,106,,,
68,81,R 93,,,106,,,
69,81,REX 93,,,106,,,
7,81,D,,,103,,,
70,81,R 96,,,106,,,
71,81,R 95,,,106,,,
72,81,R 91,,,106,,,
73,81,R 64,,,106,,,
74,81,REX 63,,,106,,,
75,810026,CAT,,,103,,,
76,81,ASTB,,,103,,,
77,81,ICE,,,101,,,
78,81,EC,,,102,,,
79,SAD003,R,,,106,,,
8,81,R,,,106,,,
80,SAD003,REX,,,106,,,
81,SAD003,R 2,,,106,,,
82,81,Os 41,,,106,,,
83,81,Os 3,,,106,,,
84,81,Os,,,106,,,
85,81,S,,,102,,,
86,81,,-,,103,,,
87,81,Sp,,,106,,,
88,81,EN -,,,103,,,
89,81,RB 6,,,106,,,
9,81,S 2,,,109,,,
90,81,R 63,,,106,,,
91,81,R 62,,,106,,,
92,81,REX 62,,,106,,,
93,81,ER 62,,,106,,,
94,81,ER,,,106,,,
95,81,REX 58,,,106,,,
96,81,D 9,,,103,,,
