from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
5100009,5100009,2,300,,
5100010,5100010,2,300,,
5100066,5100066,2,300,,
5300007,5300007,2,600,,
5400014,5400014,2,480,,
5400018,5400018,2,180,,
5400038,5400038,2,240,,
5400060,5400060,2,120,,
5400121,5400121,2,120,,
5400202,5400202,2,120,,
5400228,5400228,2,120,,
5500003,5500003,2,420,,
5500017,5500017,2,60,,
5500028,5500028,2,180,,
5500029,5500029,2,60,,
5500032,5500032,2,60,,
5500058,5500058,2,180,,
5500080,5500080,2,180,,
5501494,5501494,2,60,,
5600207,5600207,2,300,,
5600582,5600582,2,120,,
7800020,7800020,2,600,,
7900001,7900001,2,120,,
7900003,7900003,2,300,,
7900006,7900006,2,120,,
8000072,8000072,2,180,,
8000080,8000080,2,420,,
8000085,8000085,2,480,,
8000105,8000105,2,480,,
8000108,8000108,2,180,,
8000170,8000170,2,300,,
8000191,8000191,2,360,,
8000197,8000197,2,180,,
8000207,8000207,2,480,,
8000230,8000230,2,240,,
8000261,8000261,2,480,,
8000263,8000263,2,420,,
8000298,8000298,2,240,,
8000320,8000320,2,240,,
8000323,8000323,2,240,,
8001880,8001880,2,300,,
8002187,8002187,2,180,,
8002549,8002549,2,480,,
8002553,8002553,2,300,,
8003024,8003024,2,300,,
8004043,8004043,2,180,,
8004158,8004158,2,420,,
8004506,8004506,2,300,,
8004662,8004662,2,300,,
8005927,8005927,2,180,,
8005948,8005948,2,300,,
8010255,8010255,2,420,,
8011160,8011160,2,480,,
8098160,8098160,2,480,,
8098262,8098262,2,180,,
8100001,8100001,2,300,,
8100002,8100002,2,420,,
8100003,8100003,2,360,,
8100004,8100004,2,300,,
8100005,8100005,2,300,,
8100006,8100006,2,180,,
8100007,8100007,2,300,,
8100008,8100008,2,300,,
8100009,8100009,2,240,,
8100010,8100010,2,300,,
8100011,8100011,2,180,,
8100012,8100012,2,300,,
8100013,8100013,2,300,,
8100014,8100014,2,300,,
8100015,8100015,2,180,,
8100016,8100016,2,300,,
8100017,8100017,2,300,,
8100018,8100018,2,300,,
8100019,8100019,2,300,,
8100020,8100020,2,180,,
8100021,8100021,2,300,,
8100022,8100022,2,300,,
8100023,8100023,2,240,,
8100024,8100024,2,240,,
8100025,8100025,2,300,,
8100026,8100026,2,300,,
8100027,8100027,2,120,,
8100028,8100028,2,240,,
8100029,8100029,2,240,,
8100030,8100030,2,300,,
8100031,8100031,2,300,,
8100032,8100032,2,300,,
8100033,8100033,2,300,,
8100034,8100034,2,180,,
8100035,8100035,2,300,,
8100036,8100036,2,300,,
8100037,8100037,2,300,,
8100038,8100038,2,300,,
8100039,8100039,2,300,,
8100040,8100040,2,300,,
8100041,8100041,2,240,,
8100042,8100042,2,300,,
8100043,8100043,2,300,,
8100044,8100044,2,300,,
8100045,8100045,2,300,,
8100046,8100046,2,300,,
8100047,8100047,2,300,,
8100048,8100048,2,300,,
8100049,8100049,2,300,,
8100050,8100050,2,300,,
8100051,8100051,2,300,,
8100052,8100052,2,300,,
8100053,8100053,2,300,,
8100054,8100054,2,300,,
8100055,8100055,2,300,,
8100056,8100056,2,300,,
8100057,8100057,2,300,,
8100058,8100058,2,300,,
8100059,8100059,2,300,,
8100060,8100060,2,300,,
8100061,8100061,2,300,,
8100062,8100062,2,300,,
8100063,8100063,2,300,,
8100064,8100064,2,300,,
8100065,8100065,2,300,,
8100066,8100066,2,300,,
8100067,8100067,2,300,,
8100068,8100068,2,300,,
8100069,8100069,2,300,,
8100070,8100070,2,300,,
8100071,8100071,2,300,,
8100072,8100072,2,300,,
8100073,8100073,2,300,,
8100074,8100074,2,240,,
8100075,8100075,2,300,,
8100076,8100076,2,300,,
8100077,8100077,2,300,,
8100078,8100078,2,300,,
8100079,8100079,2,300,,
8100080,8100080,2,300,,
8100081,8100081,2,300,,
8100082,8100082,2,300,,
8100083,8100083,2,240,,
8100084,8100084,2,300,,
8100085,8100085,2,360,,
8100086,8100086,2,300,,
8100087,8100087,2,300,,
8100088,8100088,2,300,,
8100090,8100090,2,300,,
8100091,8100091,2,300,,
8100092,8100092,2,300,,
8100093,8100093,2,300,,
8100094,8100094,2,300,,
8100095,8100095,2,300,,
8100096,8100096,2,300,,
8100097,8100097,2,300,,
8100098,8100098,2,300,,
8100099,8100099,2,300,,
8100100,8100100,2,300,,
8100101,8100101,2,300,,
8100102,8100102,2,300,,
8100103,8100103,2,300,,
8100104,8100104,2,300,,
8100105,8100105,2,300,,
8100106,8100106,2,300,,
8100107,8100107,2,300,,
8100108,8100108,2,300,,
8100109,8100109,2,300,,
8100110,8100110,2,300,,
8100111,8100111,2,300,,
