route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,1,Bischofshofen Bahnhof,IC 1010,,1,,1
1,000002,2,Bischofshofen Bahnhof,IC 1010,,1,,1
1,000003,3,Wien Hbf,IC 1011,,2,,1
1,000004,4,Bischofshofen Bahnhof,IC 1012,,3,,1
1,000005,5,Stainach-Irdning Bahnhof,IC 1018,,4,,1
1,000006,6,Wien Hbf,IC 1019,,5,,1
1,000007,7,Wien Hbf,IC 1019,,6,,1
2,000000,8,Wien Hbf,RJ 1020,,7,,1
2,000000,9,Flughafen Wien Bahnhof,RJ 1021,,8,,1
2,000000,10,Flughafen Wien Bahnhof,RJ 1023,,9,,1
2,000008,11,Wien Hbf,RJ 1024,,10,,1
2,000009,12,Wien Hbf,RJ 1024,,11,,1
2,000000,13,Wien Hbf,RJ 1026,,12,,1
2,000010,14,Graz Hbf,RJ 1057,,13,,1
2,000011,15,Graz Hbf,RJ 1057,,14,,1
3,000000,16,Wien Hbf,RJX 1060,,15,,1
1,000012,17,Bischofshofen Bahnhof,IC 1110,,16,,1
1,000013,18,Bischofshofen Bahnhof,IC 1110,,17,,1
1,000012,19,Wien Hbf,IC 1111,,18,,1
1,000013,20,Wien Hbf,IC 1111,,19,,1
1,000014,21,Bischofshofen Bahnhof,IC 1112,,20,,1
1,000015,22,Bischofshofen Bahnhof,IC 1112,,21,,1
1,000016,23,Wien Hbf,IC 1113,,22,,1
1,000017,24,Wien Hbf,IC 1113,,23,,1
4,000018,25,Dortmund Hbf,EC 114,,24,,1
5,000019,26,Bratislava-Petrzalka,EN 1152,,25,,1
6,020534,27,Wien Hbf (Autoreisezuganlage),NJ 1234,,26,,1
6,000022,28,Wien Hbf (Autoreisezuganlage),NJ 1234,,27,,1
6,020535,29,Livorno Centrale,NJ 1237,,28,,1
6,000025,30,Livorno Centrale,NJ 1237,,29,,1
2,000026,31,Salzburg Hbf,RJ 1240,,30,,1
2,000026,32,Flughafen Wien Bahnhof,RJ 1241,,31,,1
2,000027,33,Graz Hbf,RJ 1255,,32,,1
2,000028,34,Graz Hbf,RJ 1255,,33,,1
3,000029,35,Wörgl Hbf,RJX 1260,,34,,1
3,000030,36,Wörgl Hbf,RJX 1260,,34,,1
3,000031,37,Wien Hbf,RJX 1261,,35,,1
3,000032,38,Wien Hbf,RJX 1261,,36,,1
3,000033,39,Wörgl Hbf,RJX 1262,,37,,1
3,000034,40,Wörgl Hbf,RJX 1264,,38,,1
3,000035,41,Wörgl Hbf,RJX 1264,,38,,1
3,000036,42,Wörgl Hbf,RJX 1264,,39,,1
3,000037,43,Flughafen Wien Bahnhof,RJX 1265,,40,,1
3,000038,44,Flughafen Wien Bahnhof,RJX 1265,,41,,1
3,000039,45,Flughafen Wien Bahnhof,RJX 1265,,42,,1
3,000032,46,Flughafen Wien Bahnhof,RJX 1265,,43,,1
3,000040,47,Flughafen Wien Bahnhof,RJX 1265,,44,,1
3,000041,48,Flughafen Wien Bahnhof,RJX 1265,,45,,1
3,000042,49,Flughafen Wien Bahnhof,RJX 1265,,46,,1
3,000043,50,Wien Hbf,RJX 1267,,47,,1
3,000044,51,Wien Hbf,RJX 1267,,47,,1
3,000045,52,Wien Hbf,RJX 1267,,48,,1
3,000046,53,Wien Hbf,RJX 1267,,49,,1
2,000000,54,Wien Hbf,RJ 132,,50,,1
2,000000,55,Venezia Santa Lucia,RJ 133,,51,,1
7,000048,56,Lienz in Osttirol Bahnhof,D 14005,,52,,1
7,000048,57,Villach Hbf,D 14007,,53,,1
7,000049,58,Villach Hbf,D 14009,,54,,1
7,000049,59,Wien Hbf,D 14010,,55,,1
7,000050,60,Wien Hbf,D 14013,,56,,1
7,000050,61,Wien Hbf,D 14016,,57,,1
7,000051,62,Villach Hbf,D 14065,,58,,1
7,000051,63,Wien Hbf,D 14066,,59,,1
7,000052,64,Wien Hbf,D 14068,,60,,1
7,000052,65,Wien Hbf,D 14072,,61,,1
7,000052,66,Villach Hbf,D 14075,,62,,1
7,000052,67,Wien Hbf,D 14076,,63,,1
7,000053,68,Wien Hbf,D 14078,,64,,1
7,000053,69,Villach Hbf,D 14081,,65,,1
7,000053,70,Wien Hbf,D 14082,,66,,1
7,000051,71,Villach Hbf,D 14086,,67,,1
7,000052,72,Wien Hbf,D 14089,,68,,1
8,000054,73,Salzburg Taxham Europark Bahnhof,R 14154,,69,,1
8,000054,74,Golling-Abtenau Bahnhof,R 14155,,70,,1
9,000054,75,Straßwalchen Bahnhof,,,71,,1
7,000055,76,Villach Hbf,D 14175,,72,,1
7,000056,77,Wien Hbf,D 14178,,73,,1
7,000056,78,Wien Hbf,D 14182,,74,,1
7,000056,79,Villach Hbf,D 14185,,75,,1
7,000056,80,Wien Hbf,D 14186,,76,,1
7,000058,81,Villach Hbf,D 14281,,77,,1
7,000058,82,Wien Hbf,D 14282,,78,,1
8,000059,83,Salzburg Taxham Europark Bahnhof,R 14404,,79,,1
8,000059,84,Golling-Abtenau Bahnhof,R 14405,,80,,1
8,000059,85,Friedburg Bahnhof,R 14409,,81,,1
7,000060,86,Wien Hbf,D 14723,,82,,1
7,000060,87,Salzburg Hbf,D 14762,,83,,1
10,000000,88,Salzburg Hbf,,,84,,1
10,000000,89,Wörgl Hbf,,,85,,1
10,000062,90,Salzburg Hbf,,,86,,1
10,000063,91,Salzburg Hbf,,,87,,1
10,000000,92,Wörgl Hbf,,,88,,1
10,000000,93,Schwarzach-St.Veit Bahnhof,,,89,,1
10,000000,94,Wörgl Hbf,,,90,,1
10,000000,95,Salzburg Hbf,,,91,,1
7,000029,96,Wr.Neustadt Hbf,D 15075,,92,,1
7,000029,97,Wien Meidling Bahnhof,D 15078,,93,,1
10,000000,98,Wörgl Hbf,,,94,,1
10,000000,99,Wörgl Hbf,,,95,,1
10,000000,100,Salzburg Hbf,,,96,,1
10,000000,101,Wörgl Hbf,,,97,,1
10,000000,102,Schwarzach-St.Veit Bahnhof,,,98,,1
10,000000,103,Salzburg Hbf,,,99,,1
10,000000,104,Wörgl Hbf,,,100,,1
7,000065,105,Wörgl Hbf,D 15167,,101,,1
10,000000,106,Wörgl Hbf,,,102,,1
10,000000,107,Salzburg Hbf,,,103,,1
7,000066,108,Graz Hbf,D 152,,104,,1
7,000067,109,Graz Hbf,D 152,,105,,1
